vivienda_id,precio_alquiler,area_m2,presupuesto_usuario,modo_transporte,distancia_km_simulada,tiempo_viaje_min,source_ruta,afinidad_score
3,2750.0,60.0,1200,Bicicleta,10.66,15,osrm,37
4,9000.0,1200.0,1200,Bicicleta,1.13,2,osrm,31
5,4590.0,140.0,1200,Bicicleta,5.82,9,osrm,39
6,2500.0,70.0,1200,Bicicleta,12.59,20,osrm,4
7,1200.0,73.0,1200,Bicicleta,22.52,27,osrm,48
8,3365.0,108.0,1200,Bicicleta,24.48,30,osrm,6
9,1450.0,73.0,1200,Bicicleta,12.67,21,osrm,0
10,3048.0,68.0,1200,Bicicleta,1231.38,1078,osrm,0
11,3600.0,93.0,1200,Bicicleta,1231.38,1078,osrm,0
12,5760.0,110.0,1200,Bicicleta,1231.38,1078,osrm,0
13,2140.0,60.0,1200,Bicicleta,11.41,17,osrm,4
14,2950.0,95.0,1200,Bicicleta,1231.38,1078,osrm,0
15,2700.0,40.0,1200,Bicicleta,1231.38,1078,osrm,0
16,2600.0,40.0,1200,Bicicleta,12.02,16,osrm,8
17,2450.0,56.0,1200,Bicicleta,11.27,16,osrm,0
18,4500.0,140.0,1200,Bicicleta,1231.38,1078,osrm,0
20,8500.0,325.0,1200,Bicicleta,7.09,10,osrm,37
22,3800.0,80.0,1200,Bicicleta,7.5,11,osrm,40
23,2900.0,74.0,1200,Bicicleta,1231.38,1078,osrm,0
24,3500.0,220.0,1200,Bicicleta,37.91,45,osrm,0
25,2600.0,42.0,1200,Bicicleta,12.21,16,osrm,0
26,3205.0,72.0,1200,Bicicleta,1231.38,1078,osrm,0
27,4400.0,100.0,1200,Bicicleta,1231.38,1078,osrm,0
28,2710.0,70.0,1200,Bicicleta,12.67,16,osrm,0
29,2100.0,70.0,1200,Bicicleta,14.43,19,osrm,0
30,8500.0,251.0,1200,Bicicleta,13.82,18,osrm,0
31,6210.0,290.0,1200,Bicicleta,13.73,18,osrm,4
32,2200.0,55.0,1200,Bicicleta,1231.38,1078,osrm,0
33,2527.0,81.0,1200,Bicicleta,1231.38,1078,osrm,0
34,5100.0,121.0,1200,Bicicleta,1231.38,1078,osrm,0
35,3060.0,80.0,1200,Bicicleta,1231.38,1078,osrm,0
36,4100.0,84.0,1200,Bicicleta,1231.38,1078,osrm,0
37,3300.0,98.0,1200,Bicicleta,1231.38,1078,osrm,0
38,2700.0,69.0,1200,Bicicleta,7.0,10,osrm,45
39,2700.0,85.0,1200,Bicicleta,6.98,10,osrm,40
40,2584.0,52.0,1200,Bicicleta,11.05,18,osrm,0
41,8930.0,130.0,1200,Bicicleta,1231.38,1078,osrm,0
