pair_key,workplace_id,workplace_nombre,work_lat,work_lon,property_id,prop_ids,prop_lat,prop_lon,prop_district,modo,franja,depart_at,dia_semana,hora,osrm_dist_km,osrm_min,osrm_status,work_dist_centro_km,prop_dist_centro_km,hacia_el_centro,tt_dist_km,tt_min,tt_sin_trafico_min,tt_historico_min,tt_demora_min,tt_status
"-12.0961,-77.0264|-12.1373,-77.0224|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,690,690,-12.1373,-77.0224,Barranco,cycling,valle,2026-09-01T13:00:00-05:00,1,13,4.862,21.36,ok,5.807,10.348,1,4.864,14.82,14.82,14.82,0.0,ok
"-12.0961,-77.0264|-12.1373,-77.0224|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,690,690,-12.1373,-77.0224,Barranco,walking,valle,2026-09-01T13:00:00-05:00,1,13,4.794,57.94,ok,5.807,10.348,1,4.744,56.93,56.93,56.93,0.0,ok
"-12.0961,-77.0264|-12.0724,-77.0033|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,493,493,-12.0724,-77.0033,La Victoria,cycling,valle,2026-09-01T13:00:00-05:00,1,13,4.741,20.77,ok,5.807,5.178,0,4.518,13.85,13.85,13.85,0.0,ok
"-12.0961,-77.0264|-12.0724,-77.0033|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,493,493,-12.0724,-77.0033,La Victoria,walking,valle,2026-09-01T13:00:00-05:00,1,13,4.071,48.89,ok,5.807,5.178,0,4.157,49.88,49.88,49.88,0.0,ok
"-12.0961,-77.0264|-12.0649,-76.9552|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,66,66,-12.0649,-76.9552,La Molina,cycling,valle,2026-09-01T13:00:00-05:00,1,13,10.994,49.76,ok,5.807,9.745,1,9.717,29.55,29.55,29.55,0.0,ok
"-12.0961,-77.0264|-12.0649,-76.9552|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,66,66,-12.0649,-76.9552,La Molina,walking,valle,2026-09-01T13:00:00-05:00,1,13,9.636,115.78,ok,5.807,9.745,1,9.62,115.43,115.43,115.43,0.0,ok
"-12.0961,-77.0264|-12.1014,-77.0337|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1145,1145;1379;1410,-12.1014,-77.0337,San Isidro,cycling,valle,2026-09-01T13:00:00-05:00,1,13,1.495,6.61,ok,5.807,6.195,1,1.509,4.83,4.83,4.83,0.0,ok
"-12.0961,-77.0264|-12.1014,-77.0337|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,1145,1145;1379;1410,-12.1014,-77.0337,San Isidro,walking,valle,2026-09-01T13:00:00-05:00,1,13,1.239,14.93,ok,5.807,6.195,1,1.276,15.32,15.32,15.32,0.0,ok
"-12.0961,-77.0264|-12.089,-77.0642|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,520,520,-12.089,-77.0642,Magdalena del Mar,cycling,valle,2026-09-01T13:00:00-05:00,1,13,4.841,21.77,ok,5.807,5.278,0,4.858,15.25,15.25,15.25,0.0,ok
"-12.0961,-77.0264|-12.089,-77.0642|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,520,520,-12.089,-77.0642,Magdalena del Mar,walking,valle,2026-09-01T13:00:00-05:00,1,13,4.719,57.02,ok,5.807,5.278,0,4.742,56.9,56.9,56.9,0.0,ok
"-12.0961,-77.0264|-12.0801,-76.9662|cycling|valle",W01,San Isidro Financiero,-12.0961,-77.0264,418,418,-12.0801,-76.9662,Santiago de Surco,cycling,valle,2026-09-01T13:00:00-05:00,1,13,9.4,43.27,ok,5.807,9.134,1,7.246,21.82,21.82,21.82,0.0,ok
"-12.0961,-77.0264|-12.0801,-76.9662|walking|valle",W01,San Isidro Financiero,-12.0961,-77.0264,418,418,-12.0801,-76.9662,Santiago de Surco,walking,valle,2026-09-01T13:00:00-05:00,1,13,7.796,93.65,ok,5.807,9.134,1,7.224,86.7,86.7,86.7,0.0,ok
